customerId,firstName,lastName,contactNo,email
2BBui,Bob,Builder,0207 12345,Bob.Builder@email.com
3AOra,Amy,Orange,0207 12346,Amy.Orange@email.com
4LPea,Loreta,Pear,0207 12347,Loreta.Pear@email.com
5FMan,Fabio,Mango,0207 12348,Fabio.Mango@email.com
6RBer,Rachel,Berry,0207 12349,Rachel.Berry@email.com
7TLon,Tim,Long,0207 12446,Tim.Long@email.com
8ASan,Adam,Sandlers,0207 12356,Adam.Sandlers@email.com
9FRib,Frank,Ribery,0207 12355,Frank.Ribery@email.com
10PBea,Paul,Bear,0207 33346,Paul.Bear@email.com
11DMig,Duncan,Mighty,0207 12246,Duncan.Mighty@email.com
12DQua,Donald,Quareshi,0207 14446,Donald.Quareshi@email.com
13DWhi,Dean,Whittaker,0207 32346,Dean.Whittaker@email.com
14FNig,Florence,Nightingale,0207 12346,Florence.Nightingale@email.com
15LWhi,Lucy,White,0207 12346,Lucy.White@email.com
