customer_ID,customer_deliveryID,default_deliveryAddress,line1,line2,city,postcode
2BBui,ADDR_Bui1TL,True,1 Mickey Mouse Rd,Streatham,London,SE4 1TL
3AOra,ADDR_Ora4BL,True,2 Mickey Mouse Rd,Clapham,London,S4 4BL
4LPea,ADDR_Pea2DD,True,3 Mickey Mouse Rd,Brockley,London,SE9 2DD
5FMan,ADDR_Man1BR,True,4 Mickey Mouse Rd,Brockley,London,SE3 1BR
6RBer,ADDR_Ber9DS,True,5 Mickey Mouse Rd,Catford,London,SE11 9DS
7TLon,ADDR_Lon2BS,True,6 Mickey Mouse Rd,Clapham,London,SE13 2BS
7TLon,ADDR_Lon1LT,False,5a Candyfloss Lane,Ladywell,London,SE12 1LT
8ASan,ADDR_San5TT,True,7 Mickey Mouse Rd,Woolwich,London,SE13 5TT
9FRib,ADDR_Rib1TR,True,8 Mickey Mouse Rd,Lewisham,London,SE23 1TR
10PBea,ADDR_Bea5GP,True,9 Mickey Mouse Rd,Brockley,London,SE12 5GP
11DMig,ADDR_Mig2BP,True,10 Mickey Mouse Rd,Croydon,London,SE1 2BP
12DQua,ADDR_Qua7BG,True,11 Mickey Mouse Rd,Clapham,London,SE21 7BG
12DQua,ADDR_Qua5BG,False,3 Madison Rd,Woolwich,London,SE3 5BG
13DWhi,ADDR_Whi2DF,True,12 Mickey Mouse Rd,Brockley,London,SE13 2DF
14FNig,ADDR_Nig5TP,True,13 Mickey Mouse Rd,Streatham,London,SE19 5TP
15LWhi,ADDR_Whi6DS,True,14 Mickey Mouse Rd,Woolwich,London,SE1 6DS
