customerId,paymentId,isDefault,cardNumber,expiryDate
4BBuxi,3ca86235-561e-4615-9622-3869bbdfcace,FALSE,**** **** **** 1234,Nov-19
4BBuxi,0fdf506a-fe6b-4fb5-9e00-53da2112add9,TRUE,**** **** **** 1235,Jan-18
3AOra,abd2dffe-5f49-420b-b7cb-3d2ad44fe276,FALSE,**** **** **** 1236,Jan-19
4LPea,05355012-2e9f-4de0-a0ba-bd1a128b4110,TRUE,**** **** **** 1237,Jan-20
5FMan,5412033d-0030-46ae-8b00-22e561c7df77,TRUE,**** **** **** 1238,Jan-21
6RBer,b30dc029-94c5-459e-9eb8-d686aaa0dbf8,TRUE,**** **** **** 1239,Jan-22
7TLon,55402422-dbf9-499c-976a-a43a851ceab4,TRUE,**** **** **** 1240,Jan-23
8ASan,e1bb5721-7627-44e6-9218-1eb118de89fe,TRUE,**** **** **** 1241,Jan-24
9FRib,c82f4aee-9e46-43cc-b4c4-024ca1dcdfc6,TRUE,**** **** **** 1242,Jan-25
9FRib,201c9cd8-2cc2-4366-af9b-cb6d291f346e,FALSE,**** **** **** 1243,Jan-26
9FRib,31b88233-23d3-48ba-b06c-27b38bb0dc37,FALSE,**** **** **** 1244,Jan-27
10PBea,dbf3aad0-f3de-4f3d-9a57-741eeb8d8326,TRUE,**** **** **** 1245,Jan-28
11DMig,04114d97-d540-45f7-8cc7-755b263f8c7b,TRUE,**** **** **** 1246,Jan-29
12DQua,b564f641-eb11-4543-a66d-7eecdbcc3470,TRUE,**** **** **** 1247,Jan-30
13DWhi,fddcfcbf-4729-4572-b473-9ad530cbdfb1,TRUE,**** **** **** 1248,Jan-31
14FNig,ead15008-7767-472a-a6c4-39211b33a4c8,TRUE,**** **** **** 1249,Jan-32
15LWhi,b110459d-9c76-4070-ae76-b30b7c354562,TRUE,**** **** **** 1250,Jan-33
2LDav,511955ac-a2bb-4ef1-b558-42d522acd71d,TRUE,**** **** **** 0008,Feb-17
3AMay,a741c97c-1368-4277-b501-d428bab3aa9a,TRUE,**** **** **** 1234,Mar-17
4COca,055c7277-4ab1-425f-b713-dc3e8e81d4d1,TRUE,**** **** **** 3218,Sep-17
5EWhi,f15c0966-662f-4104-92b6-bdbdfe954b29,TRUE,**** **** **** 0232,Dec-17
6LBor,7ebb2c06-2e2c-490a-a411-603ee22f3ceb,TRUE,**** **** **** 9238,Dec-17
7FRiv,7c95cfcd-5f96-4316-ba19-e9d758a2d3a6,TRUE,**** **** **** 7508,Dec-17
8IKow,ddd91528-8e5e-4aee-b745-dc6951ac8323,TRUE,**** **** **** 3450,Dec-17
